Id,Sire,Dam
1731,1328,1371
1732,NA,NA
1733,1489,1487
1734,1395,747
1735,590,739
1736,1093,1360
1737,699,543
1738,905,1094
1739,905,1024
1740,905,940
1741,NA,NA
1742,1222,1008
1743,998,1551
1744,1222,930
1745,1432,809
1746,1443,1162
1747,1325,1158
1748,NA,NA
1749,366,572
1750,666,1036
1751,1432,1105
1752,1328,792
1753,NA,NA
1754,1547,1304
1755,1030,964
1756,NA,NA
1757,1030,790
1758,1489,1232
1759,1489,1524
1760,NA,NA
1761,729,954
1762,NA,NA
1763,958,959
1764,1434,1511
1765,1358,1503
1766,1210,1106
1767,988,1467
1768,1489,1496
1769,998,719
1770,1395,623
1771,1589,1481
1772,828,873
1773,1035,949
1774,1210,540
1775,1464,1203
1776,1220,1231
1777,1039,1161
1778,958,607
1779,581,1468
1780,1589,1386
1781,1349,1402
1782,1060,1445
1783,581,1472
1784,984,1236
1785,1051,1263
1786,1351,1435
1787,1035,1616
1788,838,1010
1789,1086,995
1790,828,1109
1791,NA,NA
1792,865,733
1793,1464,1080
1794,1464,602
1795,1489,1523
1796,668,644
1797,1035,868
1798,1541,1371
1799,1489,1487
1800,NA,NA
1801,984,922
1802,934,1205
1803,861,543
1804,1074,1394
1805,998,896
1806,905,1094
1807,NA,NA
1808,1074,1592
1809,1074,1165
1810,630,777
1811,755,1022
1812,668,1310
1813,668,1302
1814,1514,1431
1815,966,869
1816,1395,623
1817,NA,NA
1818,NA,NA
1819,1349,1467
1820,1086,507
1821,590,739
1822,1222,1008
1823,590,1677
1824,905,940
1825,905,1314
1826,1222,930
1827,1155,1473
1828,1336,1585
1829,1325,1158
1830,1093,1360
1831,905,1644
1832,1432,1105
1833,1210,1106
1834,905,1024
1835,828,873
1836,1220,1573
1837,1509,1213
1838,1035,1161
1839,1237,1186
1840,1509,1323
1841,1434,1410
1842,1210,540
1843,1325,1262
1844,1509,1501
1845,1328,792
1846,1509,1606
1847,1223,1228
1848,1589,1386
1849,1589,1481
1850,958,607
1851,984,1236
1852,1570,970
1853,838,1010
1854,984,1337
1855,828,1109
1856,1051,1263
1857,1035,1616
1858,1509,1347
1859,1570,1609
1860,1349,1693
1861,1434,1511
1862,958,959
1863,1039,1231
1864,1059,1624
1865,1566,1562
1866,1439,1536
1867,666,1637
1868,1428,1436
1869,934,914
1870,1428,1472
1871,590,1677
1872,1222,1008
1873,1209,1661
1874,1209,1644
1875,1351,1435
1876,1630,1490
1877,1210,1106
1878,NA,NA
1879,NA,NA
1880,NA,NA
1881,NA,NA
1882,NA,NA
1883,NA,NA
1884,NA,NA
1885,NA,NA
1886,NA,NA
1887,NA,NA
1888,1349,1402
1889,1579,1730
1890,1579,1732
1891,1579,1730
1892,NA,NA
1893,1030,1075
1894,NA,NA
1895,1074,1480
1896,NA,NA
1897,NA,NA
1898,NA,NA
1899,NA,NA
1900,1547,1523
1901,835,1304
1902,835,870
1903,NA,NA
1904,668,1595
1905,835,1310
1906,835,1304
1907,NA,1318
1908,NA,1505
1909,NA,774
1910,NA,774
1911,NA,1309
1912,1235,1267
1913,NA,NA
1914,NA,NA
1915,1358,1503
1916,1235,1267
1917,1358,1504
1918,NA,NA
1919,NA,NA
1920,NA,NA
1921,NA,NA
1922,1590,1197
1923,1589,1674
1924,NA,NA
1925,1590,1637
1926,1059,584
1927,1566,1025
1928,630,1673
1929,898,1175
1930,1509,1323
1931,1432,1105
1932,1590,1653
1933,998,896
1934,1509,1213
1935,1474,1752
1936,NA,NA
1937,1086,995
1938,1589,1386
1939,NA,NA
1940,NA,NA
1941,1589,1481
1942,1509,1501
1943,1566,721
1944,1566,721
1945,1566,1096
1946,1074,1075
1947,984,1257
1948,1434,1511
1949,668,1733
1950,1039,1231
1951,1509,1606
1952,668,1559
1953,668,1524
1954,668,1731
1955,905,1332
1956,1735,1685
1957,1509,1347
1958,1735,792
1959,984,1603
1960,1590,1094
1961,1093,1360
1962,1035,1616
1963,1439,1536
1964,1349,1693
1965,865,937
1966,1641,1467
1967,1641,1818
1968,1777,1696
1969,1336,1585
1970,1777,873
1971,1590,1314
1972,1700,1203
1973,1590,940
1974,1777,1109
1975,1358,1504
1976,1544,1228
1977,1185,963
1978,1777,1708
1979,1235,1267
1980,1544,1704
1981,1735,485
1982,984,1510
1983,590,1677
1984,984,1036
1985,1209,1661
1986,1349,1409
1987,1727,1538
1988,1350,1545
1989,1003,1490
1990,1589,1674
1991,NA,NA
1992,1509,1323
1993,1547,1272
